TRANSECT_ID,site,transect_lon,transect_lat,centroiddist,jaccard,meanvol,mismatch,overallnichedist,synindex,speciesICOV,meanab,spprich,ICOV,meancommsize,nsite
ES-CTBMS.77,CAT,2.84703628513125,41.9969546620722,2.40299084445526,0.201981818082107,1154.72087715537,6.17656296482437,792.45574452432,0.086755563218855,1.81580145024018,0.00989161013408,71,6.05813807026128,0.700891232357686,40
ES-CTBMS.80,CAT,2.03053221849432,41.6780461199513,2.3735135935077,0.1952445930721,1181.69298890904,4.82332528964409,629.64288377223,0.055387098728229,1.67235657676472,0.007025764854028,89,6.70355033973028,0.62042908095571,43
ES-CTBMS.82,CAT,0.295038816534039,40.895756322102,2.48439162479006,0.199910341945307,924.292506872525,6.52316317779628,887.007968183207,0.157038628803106,1.38967109757485,0.00216461735138,77,3.43575208799258,0.166495151277006,44
ES-CTBMS.86,CAT,1.03628565433495,42.5832904244918,1.82615394080594,0.24169641029257,1111.78051480511,4.69066935610762,789.025380241069,0.267554912785239,1.45492986063057,0.006352948522435,64,2.09843888581752,0.333529797427847,45
ES-CTBMS.88,CAT,2.50703324911965,41.6691441456006,2.39712468914451,0.215983036581623,902.718153107225,5.70164849066442,748.489752499739,0.24166777405406,1.4364506834488,0.006972922251289,55,2.85002160280443,0.380605339549545,46
ES-CTBMS.9,CAT,2.50709484528031,42.1439544694445,2.03780405959933,0.211347027468857,857.011538138951,4.24879909350146,598.161620674997,0.090386289010975,1.82007062849178,0.016291392123414,87,5.75730710686009,1.39762995585073,47
ES-CTBMS.90,CAT,1.88442352700976,42.3918442917508,1.87573886856763,0.22366580643319,846.677027875669,3.57442963434308,568.140666037026,0.304513684114576,1.73838018000963,0.00722335061496,72,2.01494258182552,0.409104312101851,48
ES-CTBMS.92,CAT,1.49096714391837,42.4984663853895,1.89449086979278,0.229512336506453,834.768745083812,2.76391145143696,480.466148480971,0.070667699080566,1.67460101258045,0.005428122456971,76,6.19550863346275,0.409370901963199,50
ES-CTBMS.93,CAT,1.47264989157696,42.5837976435639,1.81440350684236,0.252945527711086,1094.90146623134,4.8138966546014,834.269547153985,0.101495599345773,1.35573559944361,0.004860061205212,58,4.17360594412987,0.272163427491849,51
ES-CTBMS.96,CAT,1.48403648230152,42.456993708424,2.09951115877299,0.218129705566816,936.964986383117,3.2536136735686,478.51362271466,0.193114686305156,1.47097822972827,0.006211751555436,76,3.24154515288751,0.466446071344569,53
ES-CTBMS.98,CAT,1.51470742078372,42.5064236719031,2.044192163926,0.221293181023262,984.926830807984,2.78412740575537,490.141847216144,0.203455445814171,1.32207973325293,0.003598600486598,57,1.63110148245857,0.170115659366459,54
